scenario,wind_u,c_spread,peak_C,tau_s,v_spread,pulse_width_s,tau_over_width,miss_rate_mean,miss_rate_std,dir_err_mean,dir_err_std,speed_err_mean,n_valid_dir,t_max,dt,exposed_mean
S7_worst,2.0,0.15,500.0,17.395,0.3,114.99,0.1513,0.0,0.0,12.503,24.654,127.261,13,238.4,0.1,15.0
S7_worst,5.0,0.05,150.0,11.001,0.25,52.54,0.2094,0.0,0.0,5.76,3.787,118.802,7,254.5,0.1,15.0
S7_worst,5.0,0.05,300.0,11.001,0.25,103.0,0.1068,0.0,0.0,14.077,12.574,297.505,5,254.5,0.1,15.0
S7_worst,5.0,0.05,500.0,11.001,0.25,137.98,0.0797,0.0,0.0,5.249,4.814,258.244,10,254.5,0.1,15.0
S7_worst,5.0,0.1,150.0,11.001,0.5,26.27,0.4188,0.0,0.0,15.666,28.278,58.134,15,148.8,0.1,15.0
S7_worst,5.0,0.1,300.0,11.001,0.5,51.5,0.2136,0.0,0.0,6.096,8.265,52.176,15,148.8,0.1,15.0
S7_worst,5.0,0.1,500.0,11.001,0.5,68.99,0.1595,0.0,0.0,10.637,16.672,69.934,15,148.8,0.1,15.0
S7_worst,5.0,0.15,150.0,11.001,0.75,17.51,0.6281,2.22,3.98,12.535,23.938,23.932,15,113.5,0.1,15.0
S7_worst,5.0,0.15,300.0,11.001,0.75,34.33,0.3204,0.0,0.0,4.097,4.797,24.096,15,113.5,0.1,15.0
S7_worst,5.0,0.15,500.0,11.001,0.75,45.99,0.2392,0.0,0.0,3.44,2.544,42.489,15,113.5,0.1,15.0
S7_worst,10.0,0.05,150.0,7.779,0.5,26.27,0.2961,0.0,0.0,14.917,22.103,49.222,15,139.1,0.1,15.0
S7_worst,10.0,0.05,300.0,7.779,0.5,51.5,0.151,0.0,0.0,8.258,7.093,43.785,15,139.1,0.1,15.0
S7_worst,10.0,0.05,500.0,7.779,0.5,68.99,0.1128,0.0,0.0,6.62,5.045,108.4,15,139.1,0.1,15.0
S7_worst,10.0,0.1,150.0,7.779,1.0,13.14,0.5922,0.89,2.27,4.328,4.889,15.199,15,86.2,0.1,15.0
S7_worst,10.0,0.1,300.0,7.779,1.0,25.75,0.3021,0.0,0.0,2.899,1.692,22.885,15,86.2,0.1,15.0
S7_worst,10.0,0.1,500.0,7.779,1.0,34.5,0.2255,0.0,0.0,3.826,2.261,28.861,15,86.2,0.1,15.0
S7_worst,10.0,0.15,150.0,7.779,1.5,8.76,0.8883,23.11,13.08,5.603,2.784,7.581,15,68.6,0.1,15.0
S7_worst,10.0,0.15,300.0,7.779,1.5,17.17,0.4531,0.0,0.0,4.523,2.974,14.222,15,68.6,0.1,15.0
S7_worst,10.0,0.15,500.0,7.779,1.5,23.0,0.3383,0.0,0.0,4.607,3.644,20.959,15,68.6,0.1,15.0
S7_worst,15.0,0.05,150.0,6.352,0.75,17.51,0.3627,0.0,0.0,3.554,3.456,26.673,15,99.6,0.1,15.0
S7_worst,15.0,0.05,300.0,6.352,0.75,34.33,0.185,0.0,0.0,3.731,3.145,37.192,15,99.6,0.1,15.0
S7_worst,15.0,0.05,500.0,6.352,0.75,45.99,0.1381,0.0,0.0,4.557,2.438,48.986,15,99.6,0.1,15.0
S7_worst,15.0,0.1,150.0,6.352,1.5,8.76,0.7253,6.67,6.44,5.21,2.383,10.958,15,64.3,0.1,15.0
S7_worst,15.0,0.1,300.0,6.352,1.5,17.17,0.37,0.0,0.0,4.484,3.271,15.538,15,64.3,0.1,15.0
S7_worst,15.0,0.1,500.0,6.352,1.5,23.0,0.2762,0.0,0.0,4.787,3.943,22.58,15,64.3,0.1,15.0
S7_worst,15.0,0.15,150.0,6.352,2.25,5.84,1.088,52.0,19.81,12.235,6.795,-8.663,12,52.6,0.1,15.0
S7_worst,15.0,0.15,300.0,6.352,2.25,11.44,0.555,0.0,0.0,5.819,4.519,9.438,15,52.6,0.1,15.0
S7_worst,15.0,0.15,500.0,6.352,2.25,15.33,0.4143,0.0,0.0,6.023,4.475,16.264,15,52.6,0.1,15.0
