dist_m,n,eta_true_mean_s,E3_cov_pct,E3_breach_early_pct,E3_breach_late_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_breach_late_pct,E3x_width_s,scenario,warm_mult,warm_scale_m
100.0,460,67.0,96.5,2.6,0.9,65.0,97.6,2.4,0.0,92.5,S7_worst,0.8,4.8
30.0,456,20.1,93.2,0.4,6.4,19.1,99.8,0.2,0.0,32.0,S7_worst,1.0,6.0
60.0,455,40.0,90.8,0.2,9.0,38.1,99.8,0.2,0.0,57.3,S7_worst,1.0,6.0
100.0,456,66.9,88.8,0.0,11.2,63.5,100.0,0.0,0.0,91.0,S7_worst,1.0,6.0
30.0,443,20.0,86.0,0.0,14.0,19.7,100.0,0.0,0.0,32.6,S7_worst,1.2,7.2
60.0,443,40.0,84.7,0.0,15.3,40.0,100.0,0.0,0.0,59.2,S7_worst,1.2,7.2
100.0,442,67.0,83.5,0.0,16.5,67.2,99.5,0.0,0.5,94.6,S7_worst,1.2,7.2
30.0,425,19.9,85.6,0.0,14.4,19.8,100.0,0.0,0.0,32.7,S7_worst,1.3,7.8
60.0,424,39.9,84.2,0.0,15.8,40.6,100.0,0.0,0.0,59.7,S7_worst,1.3,7.8
100.0,424,66.9,83.7,0.0,16.3,68.3,100.0,0.0,0.0,95.8,S7_worst,1.3,7.8
30.0,386,19.9,85.0,0.0,15.0,20.2,100.0,0.0,0.0,33.1,S7_worst,1.5,9.0
60.0,386,39.8,81.3,0.0,18.7,42.3,100.0,0.0,0.0,61.4,S7_worst,1.5,9.0
100.0,386,66.8,81.1,0.0,18.9,71.8,99.2,0.0,0.8,99.3,S7_worst,1.5,9.0
