dist_m,n,E3_cov_pct,E3_breach_early_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_width_s,E3x2_cov_pct,E3x2_breach_early_pct,E3x2_width_s,scenario,tau_s,mode,warm_mult
30.0,210,28.6,71.4,13.9,100.0,0.0,26.7,100.0,0.0,29.9,S6_n9,10.0,uniform,1.0
60.0,210,100.0,0.0,27.1,100.0,0.0,46.2,100.0,0.0,49.4,S6_n9,10.0,uniform,1.0
100.0,210,100.0,0.0,44.7,100.0,0.0,72.2,100.0,0.0,75.4,S6_n9,10.0,uniform,1.0
30.0,188,56.4,43.6,15.0,98.9,1.1,27.9,100.0,0.0,31.0,S6_n9,10.0,variable,1.0
60.0,188,95.2,4.8,29.2,100.0,0.0,48.3,100.0,0.0,51.5,S6_n9,10.0,variable,1.0
100.0,188,99.5,0.5,48.1,100.0,0.0,75.6,100.0,0.0,78.8,S6_n9,10.0,variable,1.0
30.0,210,0.0,100.0,13.7,0.0,100.0,26.6,100.0,0.0,29.8,S6_n9,10.0,uniform,0.5
60.0,210,0.0,100.0,26.8,0.0,100.0,45.9,100.0,0.0,49.1,S6_n9,10.0,uniform,0.5
100.0,210,0.0,100.0,44.2,57.1,42.9,71.7,100.0,0.0,74.8,S6_n9,10.0,uniform,0.5
30.0,195,1.0,99.0,15.0,26.7,73.3,27.8,87.2,12.8,31.0,S6_n9,10.0,variable,0.5
60.0,195,19.5,80.5,29.1,61.5,38.5,48.2,89.7,10.3,51.4,S6_n9,10.0,variable,0.5
100.0,195,49.2,50.8,47.8,74.4,25.6,75.3,89.7,10.3,78.5,S6_n9,10.0,variable,0.5
30.0,456,93.2,0.4,19.1,99.8,0.2,32.0,100.0,0.0,35.2,S7_worst,0.0,uniform,1.0
60.0,455,90.8,0.2,38.1,99.8,0.2,57.3,100.0,0.0,60.4,S7_worst,0.0,uniform,1.0
100.0,456,88.8,0.0,63.5,100.0,0.0,91.0,100.0,0.0,94.1,S7_worst,0.0,uniform,1.0
30.0,451,97.8,1.8,18.9,99.8,0.2,31.8,100.0,0.0,34.9,S7_worst,2.0,uniform,1.0
60.0,452,99.3,0.0,37.3,100.0,0.0,56.4,100.0,0.0,59.6,S7_worst,2.0,uniform,1.0
100.0,452,99.3,0.0,61.9,100.0,0.0,89.4,100.0,0.0,92.5,S7_worst,2.0,uniform,1.0
30.0,455,96.3,3.3,19.8,100.0,0.0,32.6,100.0,0.0,35.8,S7_worst,2.0,variable,1.0
60.0,454,97.8,2.2,38.8,100.0,0.0,57.9,100.0,0.0,61.1,S7_worst,2.0,variable,1.0
100.0,453,100.0,0.0,64.0,100.0,0.0,91.5,100.0,0.0,94.7,S7_worst,2.0,variable,1.0
30.0,455,91.6,7.9,18.9,98.5,1.5,31.8,100.0,0.0,35.0,S7_worst,5.0,uniform,1.0
60.0,455,94.5,5.3,36.9,97.8,2.2,56.1,99.6,0.4,59.2,S7_worst,5.0,uniform,1.0
100.0,455,97.6,2.2,61.0,100.0,0.0,88.4,100.0,0.0,91.6,S7_worst,5.0,uniform,1.0
30.0,457,90.4,9.6,20.2,98.7,1.3,33.1,100.0,0.0,36.2,S7_worst,5.0,variable,1.0
60.0,458,95.6,4.1,39.4,97.4,2.6,58.5,98.7,1.3,61.7,S7_worst,5.0,variable,1.0
100.0,457,97.4,2.4,64.5,98.7,1.3,92.0,98.7,1.3,95.1,S7_worst,5.0,variable,1.0
30.0,458,77.5,22.5,19.3,91.9,8.1,32.2,98.3,1.7,35.3,S7_worst,10.0,uniform,1.0
60.0,458,90.2,9.8,37.2,93.9,6.1,56.3,96.7,3.3,59.5,S7_worst,10.0,uniform,1.0
100.0,458,96.9,3.1,61.0,97.4,2.6,88.5,98.3,1.7,91.7,S7_worst,10.0,uniform,1.0
30.0,462,75.5,24.5,20.4,94.6,5.4,33.3,98.3,1.7,36.5,S7_worst,10.0,variable,1.0
60.0,462,91.1,8.7,39.3,94.8,5.2,58.4,97.0,3.0,61.6,S7_worst,10.0,variable,1.0
100.0,460,96.1,3.7,64.4,98.3,1.7,91.9,99.3,0.7,95.1,S7_worst,10.0,variable,1.0
30.0,463,54.2,45.8,21.0,77.5,22.5,33.9,89.4,10.6,37.1,S7_worst,10.0,uniform,0.5
60.0,463,74.5,25.5,39.9,83.2,16.8,59.1,89.6,10.4,62.2,S7_worst,10.0,uniform,0.5
100.0,463,82.3,17.7,65.1,88.8,11.2,92.6,92.9,7.1,95.8,S7_worst,10.0,uniform,0.5
30.0,460,56.3,43.7,21.5,78.7,21.3,34.4,90.0,10.0,37.6,S7_worst,10.0,variable,0.5
60.0,460,74.3,25.7,40.9,85.4,14.6,60.0,90.0,10.0,63.2,S7_worst,10.0,variable,0.5
100.0,458,83.6,15.9,66.5,89.3,10.7,94.0,94.5,5.5,97.1,S7_worst,10.0,variable,0.5
