t_max,front,mode,tau_s,n_seeds,dir_err_deg_mean,dir_err_deg_std,dir_err_deg_n,speed_err_pct_mean,speed_err_pct_std,speed_err_pct_n,speed_err_ms_mean,speed_err_ms_std,speed_err_ms_n,speed_est_ms_mean,speed_est_ms_std,speed_est_ms_n,eta_err_30_s_mean,eta_err_30_s_std,eta_err_30_s_n,eta_err_60_s_mean,eta_err_60_s_std,eta_err_60_s_n,eta_err_100_s_mean,eta_err_100_s_std,eta_err_100_s_n,dir_err_deg_absmean,speed_err_pct_absmean,eta_err_100_s_absmean
120.0,curved_S2a10,uniform,50.0,30,4.2769,3.242,30,8.0581,3.7374,30,0.1209,0.0561,30,1.6209,0.0561,30,2.5845,0.9733,30,0.3375,1.5377,30,-4.9779,2.0592,30,4.2769,8.0581,4.9779
120.0,curved_S2a10,uniform,78.5,30,4.274,3.2281,30,8.4935,3.5997,30,0.1274,0.054,30,1.6274,0.054,30,7.6673,1.1163,30,5.1177,1.5927,30,-0.0009,2.1594,30,4.274,8.4935,1.909
120.0,curved_S2a10,uniform,100.0,30,4.2762,3.2665,30,8.3842,3.2965,30,0.1258,0.0494,30,1.6258,0.0494,30,11.7147,1.0765,30,9.3117,1.5725,30,4.4615,2.3747,30,4.2762,8.3842,4.4688
120.0,curved_S2a10,jitter,11.0,30,4.7733,3.9402,30,12.2343,11.0853,30,0.1835,0.1663,30,1.6835,0.1663,30,-5.6773,2.532,30,-8.7564,4.5529,30,-14.7749,7.4423,30,4.7733,13.1555,14.7749
120.0,curved_S2a10,jitter,30.0,30,10.371,9.9573,30,31.5346,27.2226,30,0.473,0.4083,30,1.973,0.4083,30,-6.2352,5.3199,30,-12.9367,9.3373,30,-23.5057,14.0049,30,10.371,32.8143,24.0068
120.0,curved_S2a10,jitter,78.5,30,66.7211,51.1506,30,76.5117,46.8618,30,1.1477,0.7029,30,2.6477,0.7029,30,-10.1177,9.1674,30,-19.9287,12.6949,30,-35.4591,17.4944,30,66.7211,76.5117,35.9154
120.0,curved_S2a20,uniform,0.0,30,10.5806,8.7327,30,29.8012,17.2078,30,0.447,0.2581,30,1.947,0.2581,30,-15.0624,2.4357,30,-22.2319,4.9906,30,-30.437,8.4694,30,10.5806,29.9237,30.437
120.0,curved_S2a20,uniform,2.0,30,13.2867,19.1625,30,24.0918,14.2497,30,0.3614,0.2137,30,1.8614,0.2137,30,-12.2786,2.2964,30,-17.4245,4.7277,30,-23.4079,7.6683,30,13.2867,24.1171,23.4079
120.0,curved_S2a20,uniform,5.0,30,26.3933,37.4031,30,19.7833,13.6616,30,0.2967,0.2049,30,1.7967,0.2049,30,-10.1719,2.205,30,-14.6485,4.5142,30,-19.6711,6.6252,30,26.3933,20.188,19.6711
120.0,curved_S2a20,uniform,10.0,30,16.7673,24.6887,30,15.2659,10.0252,30,0.229,0.1504,30,1.729,0.1504,30,-7.7992,2.3959,30,-11.3702,4.7966,30,-15.1384,6.0221,30,16.7673,15.4904,15.1384
120.0,curved_S2a20,uniform,11.0,30,12.5708,16.3492,30,15.6399,10.6382,30,0.2346,0.1596,30,1.7346,0.1596,30,-7.312,2.2974,30,-10.7239,4.6235,30,-14.4207,5.7265,30,12.5708,15.8272,14.4207
120.0,curved_S2a20,uniform,20.0,30,8.9037,6.9828,30,11.5222,7.7599,30,0.1728,0.1164,30,1.6728,0.1164,30,-4.4481,2.1768,30,-6.534,4.329,30,-8.3451,5.3429,30,8.9037,11.8262,8.4487
120.0,curved_S2a20,uniform,30.0,30,8.724,6.5302,30,8.9067,6.8938,30,0.1336,0.1034,30,1.6336,0.1034,30,-1.7643,2.13,30,-3.2751,4.668,30,-4.1564,6.398,30,8.724,9.7597,5.6661
120.0,curved_S2a20,uniform,50.0,30,7.9641,6.461,30,5.9523,5.3619,30,0.0893,0.0804,30,1.5893,0.0804,30,2.4839,2.1512,30,0.8226,4.3224,30,0.0624,6.5563,30,7.9641,7.1301,5.363
120.0,curved_S2a20,uniform,78.5,30,7.9723,6.4356,30,5.8729,5.304,30,0.0881,0.0796,30,1.5881,0.0796,30,7.069,2.413,30,5.0828,4.1462,30,4.1888,6.293,30,7.9723,7.0305,6.5318
120.0,curved_S2a20,uniform,100.0,30,7.9657,6.4829,30,6.0879,5.3371,30,0.0913,0.0801,30,1.5913,0.0801,30,10.942,2.4704,30,8.3919,4.3488,30,7.6018,5.7219,30,7.9657,7.2679,8.1028
120.0,curved_S2a20,jitter,11.0,30,11.9988,9.923,30,18.9277,16.7199,30,0.2839,0.2508,30,1.7839,0.2508,30,-7.9853,3.4086,30,-11.8727,6.4715,30,-15.9396,8.9316,30,11.9988,19.3688,16.2508
120.0,curved_S2a20,jitter,30.0,30,17.5576,15.4663,30,33.5536,26.3265,30,0.5033,0.3949,30,2.0033,0.3949,30,-7.086,4.5694,30,-12.7423,8.6908,30,-19.4923,12.6004,30,17.5576,34.0406,20.9039
120.0,curved_S2a20,jitter,78.5,30,66.2682,54.8464,30,73.904,43.2297,30,1.1086,0.6484,30,2.6086,0.6484,30,-10.7528,6.2688,29,-20.553,8.5478,28,-30.8684,14.3006,28,66.2682,73.904,30.8684
400.0,straight_S1,uniform,0.0,30,2.1152,0.0,30,-0.0961,0.0,30,-0.0014,0.0,30,1.4986,0.0,30,-10.5856,0.0,30,-15.0704,0.0,30,-21.0506,0.0,30,2.1152,0.0961,21.0506
400.0,straight_S1,uniform,2.0,30,0.7234,0.0,30,1.0049,0.0,30,0.0151,0.0,30,1.5151,0.0,30,-8.3495,0.0,30,-11.9058,0.0,30,-16.6518,0.0,30,0.7234,1.0049,16.6518
400.0,straight_S1,uniform,5.0,30,0.4165,0.0,30,2.1702,0.0,30,0.0326,0.0,30,1.5326,0.0,30,-6.1265,0.0,30,-8.8745,0.0,30,-12.5385,0.0,30,0.4165,2.1702,12.5385
400.0,straight_S1,uniform,10.0,30,0.2351,0.0,30,1.2194,0.0,30,0.0183,0.0,30,1.5183,0.0,30,-3.697,0.0,30,-5.71,0.0,30,-8.3941,0.0,30,0.2351,1.2194,8.3941
400.0,straight_S1,uniform,11.0,30,0.3813,0.0,30,1.2194,0.0,30,0.0183,0.0,30,1.5183,0.0,30,-3.3612,0.0,30,-5.298,0.0,30,-7.8803,0.0,30,0.3813,1.2194,7.8803
400.0,straight_S1,uniform,20.0,30,0.4033,0.0,30,2.28,0.0,30,0.0342,0.0,30,1.5342,0.0,30,-1.5536,0.0,30,-3.4547,0.0,30,-5.9894,0.0,30,0.4033,2.28,5.9894
400.0,straight_S1,uniform,30.0,30,0.1678,0.0,30,2.1702,0.0,30,0.0326,0.0,30,1.5326,0.0,30,0.0643,0.0,30,-2.0769,0.0,30,-4.932,0.0,30,0.1678,2.1702,4.932
400.0,straight_S1,uniform,50.0,30,0.3132,0.0,30,2.6516,0.0,30,0.0398,0.0,30,1.5398,0.0,30,3.7257,0.0,30,1.411,0.0,30,-1.6753,0.0,30,0.3132,2.6516,1.6753
400.0,straight_S1,uniform,78.5,30,0.3453,0.0,30,3.1372,0.0,30,0.0471,0.0,30,1.5471,0.0,30,9.4263,0.0,30,7.1779,0.0,30,4.18,0.0,30,0.3453,3.1372,4.18
400.0,straight_S1,uniform,100.0,30,0.5453,0.0,30,3.3623,0.0,30,0.0504,0.0,30,1.5504,0.0,30,13.2789,0.0,30,10.8607,0.0,30,7.6366,0.0,30,0.5453,3.3623,7.6366
