label,group,kappa_h_med,kappa_h_p95,gap_s,dtw_scaled,window_mode,dt_window,seed,dir_err,estimable,grade,n_local,per_node_frac,n_obs_mean,sigma_t_mean,s2_med
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,12,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,13,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,14,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W10 d120,ellipse_head,0.1435,0.1669,4.75,14.26,scaled,14.26,15,0.4611897484372013,1,OK,13,86.7,5.92,0.3108,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,1,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,2,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,3,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,4,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,5,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,6,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,7,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,8,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,9,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,10,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,11,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,12,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,13,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,14,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,base,8.0,15,18.04911124839855,1,OK,11,73.3,4.64,0.9873,0.4472
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,1,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,2,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,3,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,4,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
