scenario,tau_s,var_pct,warm_mult,tau_used_mult,dist_m,n,dir_deg,E3x_cov,E3x_be,E3x_w,E3x2_cov,E3x2_be,E3x2_w
S4_40,5.0,0.0,1.0,1.5,60.0,411,4.301,97.8,0.0,63.4,97.8,0.0,66.6
S4_40,5.0,0.0,1.0,1.5,100.0,411,4.301,98.1,0.0,100.7,98.1,0.0,103.8
S4_40,10.0,0.0,1.0,0.0,30.0,466,0.288,100.0,0.0,28.6,100.0,0.0,31.8
S4_40,10.0,0.0,1.0,0.0,60.0,466,0.288,100.0,0.0,49.7,100.0,0.0,52.9
S4_40,10.0,0.0,1.0,0.0,100.0,466,0.288,100.0,0.0,77.9,100.0,0.0,81.0
S4_40,10.0,0.0,1.0,0.5,30.0,455,0.983,100.0,0.0,31.0,100.0,0.0,34.2
S4_40,10.0,0.0,1.0,0.5,60.0,455,0.983,100.0,0.0,54.2,100.0,0.0,57.3
S4_40,10.0,0.0,1.0,0.5,100.0,455,0.983,100.0,0.0,85.0,100.0,0.0,88.2
S4_40,10.0,0.0,1.0,0.8,30.0,448,2.075,100.0,0.0,33.4,100.0,0.0,36.6
S4_40,10.0,0.0,1.0,0.8,60.0,448,2.075,99.8,0.0,58.6,99.8,0.0,61.8
S4_40,10.0,0.0,1.0,0.8,100.0,448,2.075,99.8,0.0,92.3,99.8,0.0,95.4
S4_40,10.0,0.0,1.0,1.0,30.0,444,2.636,99.8,0.0,34.3,99.8,0.0,37.5
S4_40,10.0,0.0,1.0,1.0,60.0,444,2.636,99.8,0.0,60.4,99.8,0.0,63.5
S4_40,10.0,0.0,1.0,1.0,100.0,444,2.636,99.5,0.0,95.2,99.5,0.0,98.3
S4_40,10.0,0.0,1.0,1.5,30.0,400,3.828,98.0,0.0,36.5,98.0,0.0,39.6
S4_40,10.0,0.0,1.0,1.5,60.0,403,3.828,98.0,0.0,64.3,98.0,0.0,67.4
S4_40,10.0,0.0,1.0,1.5,100.0,403,3.828,98.3,0.0,101.5,98.3,0.0,104.6
S4_40,10.0,0.0,0.5,0.0,30.0,469,0.097,0.6,99.4,27.1,97.9,2.1,30.3
S4_40,10.0,0.0,0.5,0.0,60.0,469,0.097,3.6,96.4,46.8,100.0,0.0,50.0
S4_40,10.0,0.0,0.5,0.0,100.0,469,0.097,16.4,83.6,73.2,100.0,0.0,76.3
S4_40,10.0,0.0,0.5,0.5,30.0,469,0.057,1.1,98.9,26.4,99.1,0.9,29.6
S4_40,10.0,0.0,0.5,0.5,60.0,469,0.057,1.9,98.1,45.6,99.1,0.9,48.8
S4_40,10.0,0.0,0.5,0.5,100.0,469,0.057,6.0,94.0,71.2,99.1,0.9,74.4
S4_40,10.0,0.0,0.5,0.8,30.0,466,0.3,99.6,0.4,28.0,99.6,0.4,31.2
S4_40,10.0,0.0,0.5,0.8,60.0,466,0.3,99.6,0.4,48.5,99.6,0.4,51.7
S4_40,10.0,0.0,0.5,0.8,100.0,466,0.3,99.6,0.4,75.8,99.6,0.4,78.9
S4_40,10.0,0.0,0.5,1.0,30.0,463,0.484,99.6,0.4,29.4,100.0,0.0,32.6
S4_40,10.0,0.0,0.5,1.0,60.0,463,0.484,99.6,0.4,50.9,100.0,0.0,54.1
S4_40,10.0,0.0,0.5,1.0,100.0,463,0.484,99.6,0.4,79.6,99.6,0.4,82.8
S4_40,10.0,0.0,0.5,1.5,30.0,460,0.869,100.0,0.0,30.9,100.0,0.0,34.0
S4_40,10.0,0.0,0.5,1.5,60.0,460,0.869,100.0,0.0,53.6,100.0,0.0,56.8
S4_40,10.0,0.0,0.5,1.5,100.0,460,0.869,100.0,0.0,83.9,100.0,0.0,87.0
S4_40,10.0,0.3,0.5,0.0,30.0,471,0.901,27.0,73.0,30.2,80.7,19.3,33.3
S4_40,10.0,0.3,0.5,0.0,60.0,471,0.901,58.0,42.0,52.3,83.2,16.8,55.5
S4_40,10.0,0.3,0.5,0.0,100.0,471,0.901,69.2,30.8,81.8,84.5,15.5,85.0
S4_40,10.0,0.3,0.5,0.5,30.0,473,0.684,68.5,31.5,29.3,99.6,0.4,32.5
S4_40,10.0,0.3,0.5,0.5,60.0,473,0.684,78.0,22.0,50.8,98.1,1.9,53.9
S4_40,10.0,0.3,0.5,0.5,100.0,473,0.684,86.0,14.0,79.4,94.3,5.7,82.6
S4_40,10.0,0.3,0.5,0.8,30.0,471,0.778,97.7,2.3,30.0,99.6,0.4,33.1
S4_40,10.0,0.3,0.5,0.8,60.0,471,0.778,99.4,0.6,51.9,99.6,0.4,55.1
S4_40,10.0,0.3,0.5,0.8,100.0,471,0.778,99.2,0.8,81.2,99.6,0.4,84.4
S4_40,10.0,0.3,0.5,1.0,30.0,466,0.9,99.6,0.4,30.7,100.0,0.0,33.9
S4_40,10.0,0.3,0.5,1.0,60.0,466,0.9,99.6,0.4,53.3,100.0,0.0,56.4
S4_40,10.0,0.3,0.5,1.0,100.0,466,0.9,99.6,0.4,83.4,99.6,0.4,86.5
S4_40,10.0,0.3,0.5,1.5,30.0,464,1.27,99.8,0.0,32.1,99.8,0.0,35.2
S4_40,10.0,0.3,0.5,1.5,60.0,467,1.27,100.0,0.0,55.7,100.0,0.0,58.8
S4_40,10.0,0.3,0.5,1.5,100.0,467,1.27,100.0,0.0,87.2,100.0,0.0,90.4
S6_n9,0.0,0.0,1.0,0.0,30.0,210,4.324,100.0,0.0,28.7,100.0,0.0,31.9
S6_n9,0.0,0.0,1.0,0.0,60.0,210,4.324,100.0,0.0,50.7,100.0,0.0,53.9
