model,geom,wind_kmh,ignition_d_m,tau_s,seed,dir_err_nominal,dir_err_local,speed_est,speed_err_nominal_pct,speed_err_local_pct,speed_true_local,estimable,n_nonsink,n_died,t_max
ellipse,head,10.0,60.0,0.0,15,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,16,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,17,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,18,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,19,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,20,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,21,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,22,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,23,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,24,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,25,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,26,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,27,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,28,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,29,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,0.0,30,6.545628433677977,0.9399099499133822,1.4504945216194491,-3.3003652253700575,-0.803778203340854,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,1,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,2,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,3,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,4,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
