arm,scenario,threshold_C,tau_s,peak_C,miss_rate_mean,miss_rate_std,blind_rate_mean,n_confirmed_mean,excluded_nonfire_mean,dir_ok_rate,exposed_mean
warn_fixed,S2a_10,70.0,50.0,500.0,0.0,0.0,13.0,13.05,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,78.5,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,78.5,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,78.5,500.0,16.33,5.76,16.33,12.55,0.0,100.0,15.0
warn_fixed,S2a_10,70.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,100.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,70.0,100.0,500.0,86.0,8.14,86.0,2.1,0.0,15.0,15.0
warn_fixed,S2a_10,80.0,11.0,150.0,76.0,7.42,76.0,3.6,0.0,30.0,15.0
warn_fixed,S2a_10,80.0,11.0,200.0,2.0,3.06,11.0,13.35,0.0,100.0,15.0
warn_fixed,S2a_10,80.0,11.0,300.0,0.0,0.0,11.33,13.3,0.0,100.0,15.0
warn_fixed,S2a_10,80.0,11.0,500.0,0.0,0.0,11.67,13.25,0.0,100.0,15.0
warn_fixed,S2a_10,80.0,30.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,30.0,200.0,99.33,2.0,99.33,0.1,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,30.0,300.0,16.67,4.47,16.67,12.5,0.0,100.0,15.0
warn_fixed,S2a_10,80.0,30.0,500.0,0.0,0.0,11.33,13.3,0.0,100.0,15.0
warn_fixed,S2a_10,80.0,50.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,50.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,50.0,300.0,98.33,3.57,98.33,0.25,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,50.0,500.0,1.0,2.38,13.0,13.05,0.0,100.0,15.0
warn_fixed,S2a_10,80.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,78.5,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,78.5,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,78.5,500.0,85.67,8.24,85.67,2.15,0.0,15.0,15.0
warn_fixed,S2a_10,80.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,100.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,80.0,100.0,500.0,99.0,2.38,99.0,0.15,0.0,0.0,15.0
warn_fixed,S7_worst,40.0,11.0,150.0,0.0,0.0,100.0,0.0,12.95,0.0,15.0
warn_fixed,S7_worst,40.0,11.0,200.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,40.0,11.0,300.0,0.0,0.0,100.0,0.0,12.9,0.0,15.0
warn_fixed,S7_worst,40.0,11.0,500.0,0.0,0.0,100.0,0.0,13.05,0.0,15.0
warn_fixed,S7_worst,40.0,30.0,150.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,40.0,30.0,200.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,40.0,30.0,300.0,0.0,0.0,100.0,0.0,12.95,0.0,15.0
warn_fixed,S7_worst,40.0,30.0,500.0,0.0,0.0,100.0,0.0,12.9,0.0,15.0
warn_fixed,S7_worst,40.0,50.0,150.0,6.0,8.92,100.0,0.0,12.65,0.0,15.0
warn_fixed,S7_worst,40.0,50.0,200.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,40.0,50.0,300.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,40.0,50.0,500.0,0.0,0.0,100.0,0.0,12.95,0.0,15.0
warn_fixed,S7_worst,40.0,78.5,150.0,84.67,15.93,100.0,0.0,2.3,0.0,15.0
warn_fixed,S7_worst,40.0,78.5,200.0,10.33,9.77,100.0,0.0,12.8,0.0,15.0
warn_fixed,S7_worst,40.0,78.5,300.0,0.0,0.0,100.0,0.0,12.9,0.0,15.0
warn_fixed,S7_worst,40.0,78.5,500.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,40.0,100.0,150.0,99.67,1.45,100.0,0.0,0.05,0.0,15.0
warn_fixed,S7_worst,40.0,100.0,200.0,53.0,22.16,100.0,0.0,7.05,0.0,15.0
warn_fixed,S7_worst,40.0,100.0,300.0,0.0,0.0,100.0,0.0,12.7,0.0,15.0
warn_fixed,S7_worst,40.0,100.0,500.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,45.0,11.0,150.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
warn_fixed,S7_worst,45.0,11.0,200.0,0.0,0.0,100.0,0.0,12.9,0.0,15.0
warn_fixed,S7_worst,45.0,11.0,300.0,0.0,0.0,100.0,0.0,12.8,0.0,15.0
warn_fixed,S7_worst,45.0,11.0,500.0,0.0,0.0,100.0,0.0,12.85,0.0,15.0
