t_max,front,mode,tau_s,seed,med,v_true_bar,speed_err_nominal_pct,speed_err_realized_pct
120.0,straight_S1,uniform,5.0,25,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,26,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,27,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,28,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,29,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,5.0,30,1.5325523015172795,1.5,2.1701534344853,2.1701534344853
120.0,straight_S1,uniform,10.0,1,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,2,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,3,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,4,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,5,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,6,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,7,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,8,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,9,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,10,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,11,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,12,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,13,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,14,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,15,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,16,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,17,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,18,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,19,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,20,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,21,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,22,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,23,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,24,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,25,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,26,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,27,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,28,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,29,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,10.0,30,1.5182917289142586,1.5,1.2194485942839042,1.2194485942839042
120.0,straight_S1,uniform,11.0,1,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,2,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,3,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
